Drone Name,Category,Flight Radius (km),Maximum Flight Height (m),Day/Night Operation,Max Daily Flights,Wind Resistance (m/s),Battery Life (minutes),Payload Capacity (kg),Temperature Resistance,Humidity Resistance,IP Rating,Camera Resolution (MP),Thermal Camera Resolution (MP),Real-Time Data Streaming,Scalability,Infrared/Night Vision Capability,Sensor Type,Resolution,Detection Range,Special Features,Price (EUR),Maintenance Cost (EUR)
DJI Matrice 300 RTK,Industrial & Surveillance,8,7000,Night capable,4,12,55,2.7,-20°C to 50°C,5-95% RH,IP45,20,0.33,Yes,High,Yes,IR Laser Rangefinder,1550nm wavelength,1200m,RTK positioning; 6-directional sensing,16000,600
DJI Mavic 3 Enterprise,Industrial & Surveillance,8,6000,Night capable,3,12,43,0.9,-10°C to 40°C,5-95% RH,Not rated,48,0.33,Yes,Moderate,Yes,Thermal & Visual,640×512,Variable,56x hybrid zoom; RTK module,6500,250
DJI Phantom 4 RTK,Industrial & Surveillance,7,6000,Day only,2,10,30,0,-10°C to 40°C,5-95% RH,Not rated,20,0,No,High,Limited,Visual Positioning,20MP,Low-light optimized,Centimeter-level RTK accuracy,7500,300
Parrot Anafi USA,Industrial & Surveillance,4,4500,Night capable,2,13,32,0.315,-10°C to 40°C,5-95% RH,IP53,21,0.08,Yes,Moderate,Yes,FLIR Boson Thermal,320×256,50m,32x zoom; encrypted storage; Made in USA,8500,350
Parrot Bebop-Pro Thermal,Industrial & Surveillance,2,150,Night capable,2,10.8,25,0.4,0°C to 40°C,5-95% RH,Not rated,14,0.05,Yes,Low,Yes,FLIR ONE Pro,160×120,30m,Thermal overlay; live streaming,4500,200
Autel Evo II Dual 640T,Industrial & Surveillance,9,7000,Night capable,2,12,40,1.0,-10°C to 40°C,5-95% RH,Not rated,48,0.33,Yes,High,Yes,Uncooled VOx Microbolometer,640×512,100m,Dual thermal/visual; obstacle avoidance,10500,450
Autel Dragonfish,Industrial & Surveillance,30,4500,Night capable,1,12,120,1.8,-20°C to 50°C,5-95% RH,IP43,48,0.33,Yes,Very High,Yes,Dual Thermal Camera,640×512,200m,VTOL fixed-wing; AI tracking,22000,800
Yuneec H520E RTK,Industrial & Surveillance,2,120,Night capable,2,12,28,1.8,-10°C to 40°C,5-95% RH,Not rated,20,0.33,No,Moderate,Yes,Dual Thermal Camera,640×512,80m,Six rotor redundancy; RTK accuracy,9500,400
Yuneec Typhoon H Plus,Industrial & Surveillance,1.6,122,Day only,2,14,25,1.8,-10°C to 40°C,5-95% RH,Not rated,20,0,No,Low,Limited,Low-light CMOS,20MP,Low-light optimized,360° gimbal; Intel RealSense,8000,350
SenseFly eBee X,Industrial & Surveillance,40,750,Night capable,1,12,90,0.7,-10°C to 45°C,5-95% RH,IP54,24,0.33,No,Very High,Yes,Duet T Thermal,640×512,High-altitude,Fixed-wing mapping; PPK accuracy,15000,500
DJI Agras T30,Agricultural,7,30,Night capable,3,6,22,30L spray tank,-10°C to 40°C,5-95% RH,IP67,0,0,Yes,Moderate,No,N/A,N/A,N/A,Agricultural spraying; flow rate 8L/min,18000,800
DJI Mavic 2 Enterprise Advanced,Environmental & Pollution Monitoring,8,500,Night capable,2,10.5,31,0.9,-10°C to 40°C,5-95% RH,Not rated,48,0.33,Yes,High,Yes,Thermal & Visual,640×512,Variable,Spotlight; speaker; RTK module,7500,300
Parrot Disco-Pro AG,Agricultural,45,150,Day only,1,16,45,0.75,-10°C to 40°C,5-95% RH,Not rated,20,0,Yes,Moderate,No,Multispectral,1.2MP RGNIR,Crop analysis,Fixed-wing; crop monitoring,6500,250
Quantum Systems Trinity F90+,Environmental & Pollution Monitoring,50,1500,Day only,1,15,90,1.5,-20°C to 50°C,5-95% RH,IP54,42,0,No,Very High,No,RGB Survey Camera,42MP,High-res mapping,VTOL fixed-wing; survey grade,28000,900
WingtraOne GEN II,Environmental & Pollution Monitoring,25,750,Night capable,1,12,59,1.5,-10°C to 40°C,5-95% RH,IP54,42,0,No,Very High,No,Survey Camera,42MP,High-precision,VTOL; PPK/RTK accuracy,20000,700
Delair UX11,Environmental & Pollution Monitoring,50,1000,Night capable,1,12,80,1.5,-20°C to 50°C,5-95% RH,Not rated,24,0.33,No,High,Yes,Thermal & RGB,640×512,Long-range,Fixed-wing; BVLOS capable,16000,600
Microdrones mdLiDAR1000HR,Environmental & Pollution Monitoring,1.5,500,Day only,2,8,35,2.5,-10°C to 40°C,5-95% RH,IP43,0,0,No,High,No,LiDAR Scanner,High-density,360° scanning,LiDAR mapping; point cloud,25000,1000
Flyability Elios 3,Environmental & Pollution Monitoring,0.2,Confined spaces,Night capable,3,5,12,0.7,-10°C to 50°C,5-95% RH,IP44,12,0.16,Yes,Moderate,Yes,LiDAR & Thermal,320×240,Indoor optimized,Collision-tolerant; SLAM navigation,18000,600
Skyfront Perimeter 8,Environmental & Pollution Monitoring,50,3000,Night capable,Continuous,12,300,4.5,-20°C to 50°C,5-95% RH,IP54,20,0.33,Yes,Very High,Yes,Thermal & Visual,640×512,Long-range,Hybrid gas-electric; 5+ hour endurance,35000,1200
Acecore Zoe,Environmental & Pollution Monitoring,15,1600,Night capable,2,15,47,5.0,-20°C to 50°C,5-95% RH,IP54,Variable,Variable,Yes,Moderate,Yes,Modular Payload,Variable,Customizable,Heavy-lift platform; modular design,25000,800
DJI FPV Drone,Port Security & Ship Inspections,6,500,Day only,3,13.8,20,0,-10°C to 40°C,5-95% RH,Not rated,12,0,Yes,Low,No,N/A,N/A,N/A,First-person view racing,1200,100
Parrot Anafi Thermal,Port Security & Ship Inspections,4,4500,Night capable,2,12,26,0.315,-10°C to 40°C,5-95% RH,IP53,21,0.08,Yes,Moderate,Yes,FLIR Lepton 3.5,160×120,50m,Thermal imaging; 4K video,7500,350
Autel Evo II Pro,Port Security & Ship Inspections,9,7000,Night capable,2,12,40,1.0,-10°C to 40°C,5-95% RH,Not rated,48,0,Yes,High,Limited,1-inch CMOS,48MP,Low-light optimized,Large sensor; obstacle avoidance,8500,400
Yuneec H850 RTK,Port Security & Ship Inspections,2,500,Night capable,2,12,35,3.5,-10°C to 40°C,5-95% RH,Not rated,20,0.33,No,High,Yes,Thermal Camera,640×512,Variable,Heavy-lift platform; RTK accuracy,12000,500
SenseFly eBee TAC,Port Security & Ship Inspections,25,750,Day only,1,12,50,0.7,-10°C to 45°C,5-95% RH,IP54,20,0.33,No,Very High,Yes,Thermal & RGB,640×512,Tactical range,Military-grade; encrypted comms,18000,600
Sky-Drones SmartAP,Port Security & Ship Inspections,10,1000,Night capable,3,12,45,2.0,-10°C to 40°C,5-95% RH,Not rated,20,0,No,High,Limited,RGB Camera,20MP,Standard,AI flight control; autopilot system,8500,400
Blue Vigil Autonomous Tethered Drone,Port Security & Ship Inspections,0.15,150,Night capable,Unlimited,10,Unlimited,1.5,-10°C to 40°C,5-95% RH,IP65,12,0.33,Yes,High,Yes,Thermal & Visual,640×512,Persistent,Tethered power; 24/7 operation,15000,400
Hexadrone Tundra,Port Security & Ship Inspections,8,1000,Night capable,2,15,35,3.0,-20°C to 50°C,5-95% RH,IP54,20,0,No,Moderate,Limited,Modular Camera,Variable,Customizable,Modular design; industrial grade,9500,450
UVify Draco,Port Security & Ship Inspections,2,500,Day only,4,12,12,0.2,-10°C to 40°C,5-95% RH,Not rated,12,0,No,Low,No,Action Camera,12MP,Standard,Racing drone; agile flight,3500,150
AeroVironment Quantix Recon,Port Security & Ship Inspections,25,1500,Day only,1,15,45,1.2,-20°C to 50°C,5-95% RH,Not rated,61,0,No,High,Limited,Survey Camera,61MP,High-resolution,Military heritage; tactical recon,12000,500
